72,80,84,124,110,88,126,205,152,134,112,112,
1099,668,1683,3720,1915,2281,2339,6051,3303,4517,1937,2158,
114,94,115,125,157,131,127,154,168,202,163,152,
1802,1218,2892,2517,3329,3350,4192,2706,2968,3732,1192,2377,
149,122,154,160,178,160,179,191,215,229,202,200,
1666,1374,2662,3268,3007,2737,2296,2758,3639,4377,3844,3087,
233,234,265,317,279,254,273,265,277,280,215,211,
2520,1964,3851,4686,3350,3443,3784,4124,3965,3093,1786,2322,
219,230,296,352,273,269,259,301,304,308,271,282,
2108,2827,4102,5374,3553,4399,3290,4140,4573,5607,3510,3409,
265,226,340,367,392,342,346,343,317,323,313,273,
3907,1792,4801,9458,7250,4353,4186,5040,4714,4186,5177,3753,
219,226,253,253,268,278,195,207,219,172,168,135,
2946,2574,3675,9374,3217,2999,2736,3857,3771,4022,1924,1575,
136,125,157,193,175,155,164,154,155,175,147,140,
2136,1440,2087,4835,3027,2608,2930,2221,2209,2610,2123,1655,
111,105,147,170,151,151,126,137,139,174,144,87,
1100,1294,2156,3826,2166,2384,1563,1823,1782,3148,4123,2731,
51,48,138,170,138,78,66,63,68,58,44,32,
1517,2936,4936,2901,1649,758,1095,914,764,1328,639,363,
